loopIteration,time,axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisD[2],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest,amperageLatest,baroAlt,rssi,gyroADC[0],gyroADC[1],gyroADC[2],gyroUnfilt[0],gyroUnfilt[1],gyroUnfilt[2],accSmooth[0],accSmooth[1],accSmooth[2],motor[0],motor[1],motor[2],motor[3],eRPM[0],eRPM[1],eRPM[2],eRPM[3],flightModeFlags,stateFlags,failsafePhase,rxSignalReceived,rxFlightChannelsValid,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed,GPS_ground_course
2625,8241906,9,-6,1,16,25,6,3,-9,-2,0,0,5,1,3,120,1726,0,0,35,733,1078,5670,-221,714,-8,8,39,-67,-36,91,-207,-60,4548,1458,1491,1625,1556,1770,1735,1857,1726,131,116,-2,0,0,23,9,4,8,0,80
2626,8243876,7,-5,1,16,25,7,1,-7,-3,0,0,5,1,3,120,1727,0,0,35,734,1077,5669,-218,713,-9,2,41,-9,53,109,-298,-33,4552,1465,1472,1627,1562,1764,1746,1897,1725,131,116,-2,0,0,0,-298,-293,40,0,5
2627,8245846,8,-5,1,16,25,7,2,-11,-3,0,0,5,1,3,120,1728,0,0,35,734,1077,5670,-218,712,-9,1,26,76,81,108,-260,-35,4546,1468,1492,1607,1565,1748,1786,1898,1725,131,116,-2,0,0,0,-298,-293,40,0,5
2628,8247816,3,-17,7,16,25,8,6,-7,-4,0,7,11,1,3,120,1728,0,0,35,734,1077,5670,-186,720,-9,1,30,33,69,105,-295,-59,4653,1461,1512,1611,1518,1777,1808,1909,1744,131,116,-2,0,0,0,-298,-293,40,0,5
2629,8249786,0,-19,6,16,24,8,2,-8,-4,0,7,10,1,3,120,1728,0,0,35,733,1078,5158,-186,719,-6,1,9,38,-61,83,-406,-36,4592,1458,1501,1598,1541,1759,1808,1949,1745,131,116,-2,0,0,0,-298,-293,40,0,5
2630,8251668,8,-20,7,16,22,6,3,-9,0,-17,7,-228,1,5493,120,1604,3,-14,355,733,1083,5198,-187,720,-10,-2,19,38,6,90,-350,-47,4621,1459,1538,1660,1531,1761,1810,1958,1734,131,116,-2,0,0,0,-298,-293,40,0,5
2631,8253550,8,-25,9,16,22,6,8,-17,3,-17,7,-229,1,5493,120,1603,2,-15,354,731,1082,5201,-188,725,-6,8,7,40,148,4,-379,-85,4616,1443,1555,1635,1541,1773,1821,1998,1735,131,116,-2,0,0,0,-298,-293,40,0,5
2632,8251312,64,-26,14,16,22,4,13,-19,11,173,-46,-281,2,5493,122,1608,2,-15,354,726,1097,5183,-204,765,-9,5,10,40,77,51,-363,-66,4618,1451,1545,1679,6712,1836,1820,2002,1737,131,116,-2,0,0,0,-298,-293,40,0,5
2633,8249074,66,-24,12,16,22,4,14,-11,10,173,-46,-283,2,5493,122,1607,2,-15,353,724,1096,5189,-205,764,-6,9,16,52,31,47,-577,-63,4576,1457,1549,1652,4136,1841,1825,1965,3081,131,116,-2,0,0,0,-298,-293,40,0,5
2634,8246616,-289,-27,21,10,25,-4,7,18,-82,31,4005,386,-2,5485,122,1608,2,-14,353,723,1089,4306,715,1673,33,1975,14,45,54,47,-473,-66,4597,1454,1547,1663,5464,6968,1952,1964,3081,131,116,-2,0,0,0,-298,-293,40,0,5
